assistant_spans,assistant_text_spans,assistant_tool_call_spans,boundary_masked_characters,boundary_masked_texts,boundary_merged_spans,boundary_non_whitespace_characters,characters,dataset_index,length_bin,masked_tokens,messages,over_max_model_len,status,supervised_fraction,supervised_tokens,task_id,tokens,tool_results,trajectory_id
17,6,11,2,"[""\n\n""]",1,0,39422,33,08193-12288,9594,35,False,ok,0.19133513149022252,2270,21,11864,11,f01a5b19-3643-4e89-8a8f-92fd60bd9af3
14,6,8,2,"[""\n\n""]",1,0,32416,34,08193-12288,7904,29,False,ok,0.1379648816664849,1265,22,9169,8,014b1138-feac-4c28-b1e6-2ff96482dd96
16,8,8,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,32272,35,08193-12288,7914,33,False,ok,0.13128430296377608,1196,22,9110,8,e6c821e4-55d9-4ada-8e4d-ca03594c61c0
15,3,12,0,[],0,0,43726,36,12289-32768,11454,31,False,ok,0.17430795847750866,2418,23,13872,12,6992e2d8-e5cf-443e-b8a9-6e546fba3729
16,4,12,2,"[""\n\n""]",1,0,43030,37,12289-32768,11546,33,False,ok,0.14764506127270044,2000,23,13546,12,6848421a-e727-4f4c-ab6e-d224c8f440db
10,3,7,0,[],0,0,29732,38,08193-12288,7389,21,False,ok,0.10175054704595186,837,25,8226,7,30fef26f-dc9b-4405-b355-555314937575
11,4,7,2,"[""\n\n""]",1,0,30307,39,08193-12288,7375,23,False,ok,0.11644902360129387,972,25,8347,7,16b71909-ad98-4c99-8885-f73f36f340c1
15,5,10,2,"[""\n\n""]",1,0,36170,40,08193-12288,8939,31,False,ok,0.15947343676539727,1696,28,10635,10,b588472a-aaf7-4649-9074-b80f8632ee47
16,6,10,2,"[""\n\n""]",1,0,37153,41,08193-12288,8864,33,False,ok,0.18656510966321005,2033,28,10897,10,21b03d1a-869a-4d25-9e4c-f2c909080a55
14,4,10,2,"[""\n\n""]",1,0,41381,42,12289-32768,10531,29,False,ok,0.17822863831447522,2284,29,12815,10,4e2bdae9-9a97-4bfa-9924-5e70892c15f4
15,5,10,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,45077,43,12289-32768,10569,31,False,ok,0.2395308677507555,3329,29,13898,10,a37a75bf-4612-47b9-8464-a134b2047913
17,6,11,2,"[""\n\n""]",1,0,37757,44,08193-12288,9106,35,False,ok,0.17390909915630953,1917,30,11023,11,b2efac62-a8c2-4727-8e36-4410be1f8ddd
18,7,11,2,"[""\n\n""]",1,0,37500,45,08193-12288,9132,37,False,ok,0.16541765673551453,1810,30,10942,11,c6752fbd-4953-4a4d-a998-9be77b99ae6a
17,8,9,4,"[""\n\n"", ""\n\n""]",2,0,33018,46,08193-12288,7810,35,False,ok,0.13472191446931087,1216,31,9026,9,e7cf61f8-f982-4f8f-a60f-f42b5088b3fc
