assistant_spans,assistant_text_spans,assistant_tool_call_spans,boundary_masked_characters,boundary_masked_texts,boundary_merged_spans,boundary_non_whitespace_characters,characters,dataset_index,length_bin,masked_tokens,messages,over_max_model_len,status,supervised_fraction,supervised_tokens,task_id,tokens,tool_results,trajectory_id
17,6,11,2,"[""\n\n""]",1,0,39403,33,08193-12288,9594,35,False,ok,0.19106239460370994,2266,21,11860,11,f01a5b19-3643-4e89-8a8f-92fd60bd9af3
14,6,8,2,"[""\n\n""]",1,0,32397,34,08193-12288,7904,29,False,ok,0.1375886524822695,1261,22,9165,8,014b1138-feac-4c28-b1e6-2ff96482dd96
16,8,8,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,32253,35,08193-12288,7914,33,False,ok,0.1309027015154843,1192,22,9106,8,e6c821e4-55d9-4ada-8e4d-ca03594c61c0
15,3,12,0,[],0,0,43707,36,12289-16384,11454,31,False,ok,0.17406980098067493,2414,23,13868,12,6992e2d8-e5cf-443e-b8a9-6e546fba3729
16,4,12,2,"[""\n\n""]",1,0,43011,37,12289-16384,11546,33,False,ok,0.14739329493427855,1996,23,13542,12,6848421a-e727-4f4c-ab6e-d224c8f440db
10,3,7,0,[],0,0,29713,38,08193-12288,7389,21,False,ok,0.10131354901483824,833,25,8222,7,30fef26f-dc9b-4405-b355-555314937575
11,4,7,2,"[""\n\n""]",1,0,30288,39,08193-12288,7375,23,False,ok,0.11602541052379241,968,25,8343,7,16b71909-ad98-4c99-8885-f73f36f340c1
15,5,10,2,"[""\n\n""]",1,0,36151,40,08193-12288,8939,31,False,ok,0.15915718182673314,1692,28,10631,10,b588472a-aaf7-4649-9074-b80f8632ee47
16,6,10,2,"[""\n\n""]",1,0,37134,41,08193-12288,8864,33,False,ok,0.18626640962085744,2029,28,10893,10,21b03d1a-869a-4d25-9e4c-f2c909080a55
14,4,10,2,"[""\n\n""]",1,0,41362,42,12289-16384,10531,29,False,ok,0.17797205526500665,2280,29,12811,10,4e2bdae9-9a97-4bfa-9924-5e70892c15f4
15,5,10,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,45058,43,12289-16384,10569,31,False,ok,0.23931193320857924,3325,29,13894,10,a37a75bf-4612-47b9-8464-a134b2047913
17,6,11,2,"[""\n\n""]",1,0,37738,44,08193-12288,9106,35,False,ok,0.17360922043742627,1913,30,11019,11,b2efac62-a8c2-4727-8e36-4410be1f8ddd
18,7,11,2,"[""\n\n""]",1,0,37481,45,08193-12288,9132,37,False,ok,0.16511245200219418,1806,30,10938,11,c6752fbd-4953-4a4d-a998-9be77b99ae6a
17,8,9,4,"[""\n\n"", ""\n\n""]",2,0,32999,46,08193-12288,7810,35,False,ok,0.13433828419419197,1212,31,9022,9,e7cf61f8-f982-4f8f-a60f-f42b5088b3fc
19,10,9,8,"[""\n\n"", ""\n\n"", ""\n\n"", ""\n\n""]",4,0,34279,47,08193-12288,7840,39,False,ok,0.16373333333333334,1535,31,9375,9,0c9acd22-a375-4ea7-8bcd-ce1243f2fb14
10,4,6,2,"[""\n\n""]",1,0,32099,48,08193-12288,7909,21,False,ok,0.12044039145907473,1083,34,8992,6,b96fb031-2154-409b-89a8-389a1a428cd2
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,33011,49,08193-12288,7844,23,False,ok,0.14729861941515382,1355,34,9199,6,febe674c-c571-42d0-b23d-43661b226535
